name,nation,genre,director,actor,audits
악인전,한국,"['범죄', '액션']",['이원태'],"['마동석', '김무열', '김성규']",청소년관람불가
어벤져스: 엔드게임,미국,"['액션', 'SF']","['안소니 루소', '조 루소']","['로버트 다우니 주니어', '크리스 에반스', '마크 러팔로', '크리스 헴스워스', '스칼렛 요한슨', '제레미 레너', '돈 치들', '폴 러드', '브리 라슨', '카렌 길런', '브래들리 쿠퍼', '조슈 브롤린']",12세이상관람가
생일,한국,['드라마'],['이종언'],"['설경구', '전도연', '김보민', '윤찬영', '박종환', '성유빈', '탕준상', '신문성']",전체관람가
캡틴 마블,미국,"['액션', '어드벤처', 'SF']","['애너 보든', '라이언 플렉']","['브리 라슨', '사무엘 L. 잭슨', '벤 멘델슨', '주드 로']",12세이상관람가
돈,한국,['범죄'],['박누리'],"['류준열', '유지태', '조우진', '원진아']",15세이상관람가
샤잠!,미국,['액션'],['데이비드 F. 샌드버그'],"['제커리 리바이', '애셔 앤젤', '잭 딜런 그레이져', '마크 스트롱']",12세이상관람가
극한직업,한국,['코미디'],['이병헌'],"['류승룡', '이하늬', '진선규', '이동휘', '공명']",15세이상관람가
사바하,한국,"['미스터리', '스릴러']",['장재현'],"['이정재', '박정민', '이재인', '유지태', '정진영', '진선규', '이다윗', '배해선']",15세이상관람가
말모이,한국,['드라마'],['엄유나'],"['유해진', '윤계상', '김홍파', '우현', '김태훈', '김선영', '민진웅']",12세이상관람가
보헤미안 랩소디,미국,['드라마'],['브라이언 싱어'],"['라미 말렉', '조셉 마젤로', '마이크 마이어스', '루시 보인턴']",12세이상관람가
아쿠아맨,미국,['액션'],['제임스 완'],"['제이슨 모모아', '앰버 허드', '니콜 키드먼', '패트릭 윌슨', '윌렘 데포', '돌프 룬드그렌']",12세이상관람가
국가부도의 날,한국,['드라마'],['최국희'],"['김혜수', '유아인', '허준호', '조우진', '뱅상 카셀', '이원희', '이은주', '손민석', '손영진', '이하윤', '김진구', '박경관', '박재민', '박재영', '박정민', '권훈', '김기현', '최준영', '염혜란']",12세이상관람가
완벽한 타인,한국,"['드라마', '코미디']",['이재규'],"['유해진', '조진웅', '이서진', '염정아', '김지수', '송하윤', '윤경호', '지우', '정민규', '정지훈', '조용진']",15세이상관람가
신비한 동물들과 그린델왈드의 범죄,미국,['판타지'],['데이빗 예이츠'],"['에디 레드메인', '캐서린 워터스턴', '앨리슨 수돌', '댄 포글러', '에즈라 밀러', '주드 로', '조니 뎁', '칼럼 터너', '조 크라비츠', '수현']",12세이상관람가
창궐,한국,"['사극', '액션']",['김성훈'],"['현빈', '장동건', '조우진', '정만식', '이선빈', '김의성', '조달환', '박진우', '서지혜', '한지은', '공정환', '김태우', '이승일', '이동훈', '이상준', '이상훈', '이승주', '배정환', '이우성', '이우정', '이유진', '이재남', '이정민', '이정민', '김주혁', '서지은', '이진용', '이창훈', '이형원', '김지수', '김태경', '김태윤', '김태희', '김하진', '나대한', '윤석동', '민경옥', '박경관', '박성빈', '임용순', '장현', '장윤정', '정선희', '정선희', '박종범', '정수연', '박지아', '박지원', '정재훈', '박태민', '김현욱', '김현욱', '강정진', '조민아', '최규리', '최아영', '김다연', '김다연', '김대현', '최재영', '한성희', '한아름', '한지혜', '한지혜', '편광진', '황원일', '김성태', '김은진', '김수지', '김승환', '김성준', '김성규', '김제형']",15세이상관람가
암수살인,한국,"['범죄', '드라마']",['김태균'],"['김윤석', '주지훈', '문정희', '진선규', '이재현', '이윤재', '김종수', '김지성', '이현주', '임병우', '김진혁', '김학준', '윤성원', '박성현', '박진수', '박진영', '권회수', '허진', '김영웅', '배해선']",15세이상관람가
베놈,미국,"['액션', 'SF', '스릴러']",['루벤 플레셔'],"['톰 하디', '미쉘 윌리엄스', '리즈 아메드', '제니 슬레이트']",15세이상관람가
안시성,한국,"['사극', '액션']",['김광식'],"['이태진', '조인성', '신현숙', '남주혁', '박성웅', '김경희', '배성우', '엄태구', '설현', '박병은', '오대환', '성동일', '정은채', '유오성', '김미지', '여윤호', '박인수', '이승일', '이현', '이경재', '이낙준', '이동민', '이상혁', '이상호', '이성욱', '이세민', '이승석', '배유리', '이승환', '배준수', '이원재', '이은희', '이은희', '이인규', '이정민', '이정선', '김종호', '이준우', '이진용', '이태진', '이호준', '임동영', '임상현', '김현우', '김현창', '나대한', '오진석', '유병주', '윤정열', '문창준', '박경관', '임용순', '박세준', '정미경', '정지훈', '김한솔', '정태영', '조석현', '조형래', '조혜인', '조혜인', '김욱', '김대현', '김동민', '김동진', '김명준', '김민혁', '최희열', '한명환', '한아름', '한정환', '김이현', '김원중', '김세홍', '강희중']",12세이상관람가
